[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[81] ['1', '12', '18', '18'] -> ((18 / 18) + 1) * 12 base 16
[82] ['10', '12', '12', '12'] -> (12 * 12) - (10 * 12) base 16
[83] ['10', '12', '12', '1F'] -> ((12 * 1F) + 12) / 10 base 16
[84] ['10', '12', '12', '21'] -> ((12 * 21) - 12) / 10 base 16
[85] ['10', '12', '14', '24'] -> ((14 - 10) * 12) - 24 base 16
[86] ['10', '12', '16', '1D'] -> ((12 - 10) * 1D) - 16 base 16
[87] ['10', '12', '17', '2C'] -> ((17 - 12) * 10) - 2C base 16
[88] ['10', '12', '17', '31'] -> (17 + 31) / (12 - 10) base 16
[89] ['10', '12', '18', '1E'] -> ((12 - 10) * 1E) - 18 base 16
[90] ['10', '12', '19', '2F'] -> (19 + 2F) / (12 - 10) base 16
[91] ['10', '12', '1A', '1B'] -> (12 * 1A) - (10 * 1B) base 16
[92] ['1', '12', '18', '2D'] -> ((2D / 12) - 1) * 18 base 16
[93] ['10', '12', '1A', '1F'] -> ((12 - 10) * 1F) - 1A base 16
[94] ['10', '12', '1A', '2E'] -> (1A + 2E) / (12 - 10) base 16
[95] ['10', '12', '1C', '20'] -> ((12 - 10) * 20) - 1C base 16
[96] ['10', '12', '1C', '2C'] -> (1C + 2C) / (12 - 10) base 16
[97] ['10', '12', '1E', '27'] -> 27 - ((12 + 1E) / 10) base 16
[98] ['10', '12', '1E', '2A'] -> (1E + 2A) / (12 - 10) base 16
[99] ['10', '12', '1F', '29'] -> (1F + 29) / (12 - 10) base 16
[100] ['10', '12', '21', '26'] -> ((10 + 26) / 12) + 21 base 16
[101] ['10', '12', '21', '27'] -> (21 + 27) / (12 - 10) base 16
[102] ['10', '12', '22', '26'] -> (22 + 26) / (12 - 10) base 16
[103] ['1', '12', '19', '19'] -> ((19 / 19) + 1) * 12 base 16
[104] ['10', '12', '25', '26'] -> ((12 - 10) * 25) - 26 base 16
[105] ['10', '12', '26', '27'] -> 27 - ((10 + 26) / 12) base 16
[106] ['10', '12', '27', '2A'] -> ((12 - 10) * 27) - 2A base 16
[107] ['10', '12', '28', '2B'] -> ((10 * 2B) - 28) / 12 base 16
[108] ['10', '12', '28', '2C'] -> ((12 - 10) * 28) - 2C base 16
[109] ['10', '12', '28', '2E'] -> 28 - ((12 + 2E) / 10) base 16
[110] ['10', '12', '29', '2E'] -> ((12 - 10) * 29) - 2E base 16
[111] ['10', '12', '2A', '2D'] -> (12 * 2A) - (10 * 2D) base 16
[112] ['10', '13', '14', '18'] -> ((13 - 10) * 14) - 18 base 16
[113] ['10', '13', '14', '23'] -> ((14 * 23) - 10) / 13 base 16
[114] ['1', '1', '18', '2A'] -> (1 + 1) * (2A - 18) base 16
[115] ['1', '12', '1A', '1A'] -> ((1A / 1A) + 1) * 12 base 16
[116] ['10', '13', '14', '28'] -> ((14 - 10) * 13) - 28 base 16
[117] ['10', '13', '15', '1A'] -> ((15 - 13) * 1A) - 10 base 16
[118] ['10', '13', '15', '1B'] -> ((13 - 10) * 15) - 1B base 16
[119] ['10', '13', '16', '1E'] -> ((13 - 10) * 16) - 1E base 16
[120] ['10', '13', '17', '1C'] -> ((17 - 13) * 10) - 1C base 16
[121] ['10', '13', '17', '21'] -> ((13 - 10) * 17) - 21 base 16
[122] ['10', '13', '19', '1C'] -> ((19 * 1C) - 10) / 13 base 16
[123] ['10', '13', '19', '1D'] -> ((13 * 1D) + 19) / 10 base 16
[124] ['10', '13', '19', '27'] -> ((13 - 10) * 19) - 27 base 16
[125] ['10', '13', '1A', '2A'] -> ((13 - 10) * 1A) - 2A base 16
[126] ['1', '12', '1A', '1F'] -> 1A / ((1F / 12) - 1) base 16
[127] ['10', '13', '1C', '1F'] -> (13 * 1C) - (10 * 1F) base 16
[128] ['10', '13', '1C', '29'] -> ((10 * 29) + 1C) / 13 base 16
[129] ['10', '13', '1C', '30'] -> ((13 - 10) * 1C) - 30 base 16
[130] ['10', '13', '1D', '21'] -> ((13 + 1D) / 10) + 21 base 16
[131] ['10', '13', '1D', '27'] -> 27 - ((13 + 1D) / 10) base 16
[132] ['10', '13', '20', '2D'] -> ((13 + 2D) / 10) + 20 base 16
[133] ['10', '13', '21', '29'] -> ((10 + 29) / 13) + 21 base 16
[134] ['10', '13', '27', '29'] -> 27 - ((10 + 29) / 13) base 16
[135] ['10', '13', '28', '2C'] -> ((10 * 28) + 2C) / 13 base 16
[136] ['10', '13', '28', '2D'] -> 28 - ((13 + 2D) / 10) base 16
[137] ['1', '12', '1A', '27'] -> 12 / ((27 / 1A) - 1) base 16
[138] ['10', '14', '14', '2C'] -> ((14 - 10) * 14) - 2C base 16
