[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[3622] ['2', '9', '13', '16'] -> ((13 + 9) / 2) + 16 base 16
[3623] ['2', '9', '13', '1E'] -> (13 - (1E / 2)) * 9 base 16
[3624] ['2', '9', '13', '22'] -> ((13 * 2) - 22) * 9 base 16
[3625] ['2', '9', '13', '2A'] -> (2A - (13 * 2)) * 9 base 16
[3626] ['2', '9', '14', '20'] -> (14 - (20 / 2)) * 9 base 16
[3627] ['2', '9', '14', '2C'] -> (2C - (14 * 2)) * 9 base 16
[3628] ['2', '9', '14', '30'] -> ((30 / 2) - 14) * 9 base 16
[3629] ['1', '2', '15', '2D'] -> (2D / (1 + 2)) + 15 base 16
[3630] ['2', '9', '15', '15'] -> ((15 + 9) / 2) + 15 base 16
[3631] ['2', '9', '15', '22'] -> (15 - (22 / 2)) * 9 base 16
[3632] ['2', '9', '15', '26'] -> ((15 * 2) - 26) * 9 base 16
[3633] ['2', '9', '16', '1A'] -> ((16 + 9) * 2) - 1A base 16
[3634] ['2', '9', '16', '30'] -> (30 - (16 * 2)) * 9 base 16
[3635] ['2', '9', '17', '1C'] -> ((17 + 9) * 2) - 1C base 16
[3636] ['2', '9', '17', '26'] -> (17 - (26 / 2)) * 9 base 16
[3637] ['2', '9', '17', '2A'] -> ((17 * 2) - 2A) * 9 base 16
[3638] ['2', '9', '17', '2D'] -> (17 - (2D / 9)) * 2 base 16
[3639] ['2', '9', '18', '18'] -> 18 / ((18 / 9) - 2) base 16
[3640] ['1', '2', '15', '2F'] -> 2F - ((1 + 15) / 2) base 16
[3641] ['2', '9', '18', '28'] -> (18 - (28 / 2)) * 9 base 16
[3642] ['2', '9', '18', '2C'] -> ((18 * 2) - 2C) * 9 base 16
[3643] ['2', '9', '19', '20'] -> ((19 + 9) * 2) - 20 base 16
[3644] ['2', '9', '19', '27'] -> 27 - ((19 + 2) / 9) base 16
[3645] ['2', '9', '19', '2A'] -> (19 - (2A / 2)) * 9 base 16
[3646] ['2', '9', '19', '2E'] -> ((19 * 2) - 2E) * 9 base 16
[3647] ['2', '9', '1A', '30'] -> ((1A * 2) - 30) * 9 base 16
[3648] ['2', '9', '1B', '2E'] -> (1B - (2E / 2)) * 9 base 16
[3649] ['2', '9', '1C', '26'] -> ((1C + 9) * 2) - 26 base 16
[3650] ['2', '9', '1C', '30'] -> (1C - (30 / 2)) * 9 base 16
[3651] ['1', '2', '15', '31'] -> ((15 + 31) / 2) + 1 base 16
[3652] ['2', '9', '1C', '31'] -> 9 / (2 - (31 / 1C)) base 16
[3653] ['2', '9', '1D', '28'] -> ((1D + 9) * 2) - 28 base 16
[3654] ['2', '9', '1D', '2C'] -> 2C / ((1D / 9) - 2) base 16
[3655] ['2', '9', '1F', '2B'] -> ((2 + 2B) / 9) + 1F base 16
[3656] ['2', '9', '1F', '2C'] -> ((1F + 9) * 2) - 2C base 16
[3657] ['2', '9', '20', '2C'] -> (2C / (2 + 9)) + 20 base 16
[3658] ['2', '9', '20', '2E'] -> ((20 + 9) * 2) - 2E base 16
[3659] ['2', '9', '21', '21'] -> (21 / (2 + 9)) + 21 base 16
[3660] ['2', '9', '28', '2C'] -> 28 - (2C / (2 + 9)) base 16
[3661] ['2', '9', '2B', '2F'] -> ((2B + 2F) / 2) - 9 base 16
[3662] ['1', '2', '16', '1B'] -> ((1 + 1B) / 2) + 16 base 16
[3663] ['2', 'A', 'A', 'C'] -> ((A / A) + 2) * C base 16
[3664] ['2', 'A', 'A', '10'] -> ((10 / A) + 2) * A base 16
[3665] ['2', 'A', 'A', '11'] -> ((A / A) + 11) * 2 base 16
[3666] ['2', 'A', 'A', '13'] -> (13 - (A / A)) * 2 base 16
[3667] ['2', 'A', 'A', '2A'] -> ((2A + A) / 2) + A base 16
[3668] ['2', 'A', 'A', '2C'] -> ((A - 2) * A) - 2C base 16
[3669] ['2', 'A', 'B', '29'] -> ((29 + B) / 2) + A base 16
[3670] ['2', 'A', 'C', '17'] -> (17 - (2 * A)) * C base 16
[3671] ['2', 'A', 'C', '1A'] -> ((1A / 2) - A) * C base 16
[3672] ['2', 'A', 'C', '22'] -> ((22 - A) * 2) - C base 16
[3673] ['1', '2', '16', '21'] -> ((2 / 16) + 1) * 21 base 16
[3674] ['2', 'A', 'C', '26'] -> ((26 + A) / 2) + C base 16
[3675] ['2', 'A', 'C', '2D'] -> (2 - (C / A)) * 2D base 16
[3676] ['2', 'A', 'C', '2F'] -> 2F - ((A + C) / 2) base 16
[3677] ['2', 'A', 'C', '30'] -> ((A * C) - 30) / 2 base 16
[3678] ['2', 'A', 'D', 'D'] -> ((A / D) + 2) * D base 16
[3679] ['2', 'A', 'D', '10'] -> (10 - D) * (2 + A) base 16
[3680] ['2', 'A', 'E', 'F'] -> ((A + F) * 2) - E base 16
[3681] ['2', 'A', 'E', '23'] -> ((23 - A) * 2) - E base 16
[3682] ['2', 'A', 'E', '25'] -> ((25 - E) * 2) - A base 16
[3683] ['2', 'A', 'E', '28'] -> ((28 / A) + E) * 2 base 16
[3684] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 16
[3685] ['1', '1', '4', '1C'] -> ((1 + 1) * 4) + 1C base 16
[3686] ['1', '2', '16', '22'] -> (1 + 2) * (22 - 16) base 16
[3687] ['2', 'A', 'F', '18'] -> ((18 / F) + 2) * A base 16
[3688] ['2', 'A', 'F', '19'] -> ((A / 19) + 2) * F base 16
[3689] ['2', 'A', 'F', '1E'] -> ((1E / A) + F) * 2 base 16
[3690] ['2', 'A', 'F', '20'] -> ((20 + A) / 2) + F base 16
[3691] ['2', 'A', 'F', '25'] -> ((25 + F) / 2) + A base 16
[3692] ['2', 'A', 'F', '26'] -> ((26 - F) * 2) - A base 16
[3693] ['2', 'A', 'F', '2C'] -> ((2C / A) - 2) * F base 16
[3694] ['2', 'A', '10', '10'] -> ((10 + A) * 2) - 10 base 16
[3695] ['2', 'A', '10', '13'] -> (13 - 10) * (2 + A) base 16
[3696] ['2', 'A', '10', '17'] -> ((10 + A) / 2) + 17 base 16
[3697] ['1', '2', '16', '2A'] -> (2A / (1 + 2)) + 16 base 16
[3698] ['2', 'A', '10', '1E'] -> ((1E + A) / 2) + 10 base 16
[3699] ['2', 'A', '10', '31'] -> 31 - ((10 + A) / 2) base 16
[3700] ['2', 'A', '11', '1C'] -> ((1C + A) / 2) + 11 base 16
[3701] ['2', 'A', '11', '23'] -> ((11 + 23) / 2) + A base 16
[3702] ['2', 'A', '11', '28'] -> ((28 - 11) * 2) - A base 16
[3703] ['2', 'A', '12', '19'] -> 12 / ((19 / A) - 2) base 16
[3704] ['2', 'A', '13', '18'] -> ((18 + A) / 2) + 13 base 16
[3705] ['2', 'A', '13', '21'] -> ((13 + 21) / 2) + A base 16
[3706] ['2', 'A', '13', '2A'] -> ((2A - 13) * 2) - A base 16
[3707] ['2', 'A', '14', '16'] -> ((16 + A) / 2) + 14 base 16
[3708] ['1', '2', '17', '21'] -> ((1 + 2) * 17) - 21 base 16
[3709] ['2', 'A', '14', '2B'] -> ((2B - 14) * 2) - A base 16
[3710] ['2', 'A', '15', '18'] -> (18 - 15) * (2 + A) base 16
[3711] ['2', 'A', '15', '1A'] -> ((15 + A) * 2) - 1A base 16
[3712] ['2', 'A', '15', '1E'] -> (15 - (1E / A)) * 2 base 16
[3713] ['2', 'A', '15', '1F'] -> ((15 + 1F) / 2) + A base 16
[3714] ['2', 'A', '15', '2C'] -> ((2C - 15) * 2) - A base 16
[3715] ['2', 'A', '16', '19'] -> (19 - 16) * (2 + A) base 16
[3716] ['2', 'A', '16', '1C'] -> ((16 + A) * 2) - 1C base 16
[3717] ['2', 'A', '16', '27'] -> ((27 - A) * 2) - 16 base 16
[3718] ['2', 'A', '16', '2D'] -> ((2D - 16) * 2) - A base 16
[3719] ['1', '2', '17', '23'] -> (1 + 2) * (23 - 17) base 16
[3720] ['2', 'A', '17', '17'] -> (2 - (A / 17)) * 17 base 16
[3721] ['2', 'A', '17', '18'] -> ((17 / 2) - A) * 18 base 16
[3722] ['2', 'A', '17', '1A'] -> (1A - 17) * (2 + A) base 16
[3723] ['2', 'A', '17', '1D'] -> ((17 + 1D) / 2) + A base 16
[3724] ['2', 'A', '17', '1E'] -> ((17 + A) * 2) - 1E base 16
[3725] ['2', 'A', '18', '1B'] -> (1B - 18) * (2 + A) base 16
[3726] ['2', 'A', '18', '1C'] -> ((18 + 1C) / 2) + A base 16
[3727] ['2', 'A', '18', '2F'] -> ((2F - 18) * 2) - A base 16
[3728] ['2', 'A', '19', '1B'] -> ((19 + 1B) / 2) + A base 16
[3729] ['2', 'A', '19', '1C'] -> (1C - 19) * (2 + A) base 16
[3730] ['1', '2', '17', '27'] -> (27 / (1 + 2)) + 17 base 16
[3731] ['2', 'A', '19', '22'] -> ((19 + A) * 2) - 22 base 16
[3732] ['2', 'A', '19', '28'] -> ((28 / 19) + 2) * A base 16
[3733] ['2', 'A', '19', '30'] -> ((30 - 19) * 2) - A base 16
[3734] ['2', 'A', '1A', '1D'] -> (1D - 1A) * (2 + A) base 16
[3735] ['2', 'A', '1A', '29'] -> ((29 - A) * 2) - 1A base 16
[3736] ['2', 'A', '1A', '31'] -> ((31 - 1A) * 2) - A base 16
[3737] ['2', 'A', '1B', '1E'] -> (1E - 1B) * (2 + A) base 16
[3738] ['2', 'A', '1C', '1F'] -> (1F - 1C) * (2 + A) base 16
[3739] ['2', 'A', '1C', '21'] -> ((1C + 2) / A) + 21 base 16
[3740] ['2', 'A', '1C', '27'] -> 27 - ((1C + 2) / A) base 16
[3741] ['1', '2', '18', '1C'] -> (18 / (1 + 2)) + 1C base 16
[3742] ['2', 'A', '1C', '2A'] -> ((2A - A) * 2) - 1C base 16
[3743] ['2', 'A', '1D', '28'] -> ((1D / A) - 2) * 28 base 16
[3744] ['2', 'A', '1E', '21'] -> (2 + A) * (21 - 1E) base 16
[3745] ['2', 'A', '1E', '2C'] -> ((1E + A) * 2) - 2C base 16
[3746] ['2', 'A', '1F', '22'] -> (2 + A) * (22 - 1F) base 16
[3747] ['2', 'A', '1F', '2E'] -> ((1F + A) * 2) - 2E base 16
[3748] ['2', 'A', '1F', '30'] -> ((2 + 30) / A) + 1F base 16
[3749] ['2', 'A', '20', '23'] -> (2 + A) * (23 - 20) base 16
[3750] ['2', 'A', '20', '2C'] -> ((2C - A) * 2) - 20 base 16
[3751] ['2', 'A', '22', '25'] -> (2 + A) * (25 - 22) base 16
[3752] ['1', '2', '18', '1D'] -> ((1 + 1D) * 2) - 18 base 16
[3753] ['2', 'A', '22', '2D'] -> ((2D - A) * 2) - 22 base 16
[3754] ['2', 'A', '23', '26'] -> (2 + A) * (26 - 23) base 16
[3755] ['2', 'A', '25', '28'] -> (2 + A) * (28 - 25) base 16
[3756] ['2', 'A', '26', '29'] -> (2 + A) * (29 - 26) base 16
[3757] ['2', 'A', '26', '2F'] -> ((2F - A) * 2) - 26 base 16
[3758] ['2', 'A', '27', '2A'] -> (2 + A) * (2A - 27) base 16
[3759] ['2', 'A', '29', '2C'] -> (2 + A) * (2C - 29) base 16
[3760] ['2', 'A', '29', '30'] -> 29 - ((2 + 30) / A) base 16
[3761] ['2', 'A', '2A', '2D'] -> (2 + A) * (2D - 2A) base 16
[3762] ['2', 'A', '2A', '31'] -> ((31 - A) * 2) - 2A base 16
[3763] ['1', '2', '18', '1F'] -> ((1F - 1) * 2) - 18 base 16
[3764] ['2', 'A', '2B', '2E'] -> (2 + A) * (2E - 2B) base 16
[3765] ['2', 'A', '2B', '31'] -> ((2B + 31) / 2) - A base 16
[3766] ['2', 'A', '2C', '2F'] -> (2 + A) * (2F - 2C) base 16
[3767] ['2', 'A', '2D', '2F'] -> ((2D + 2F) / 2) - A base 16
[3768] ['2', 'A', '2D', '30'] -> (2 + A) * (30 - 2D) base 16
[3769] ['2', 'B', 'B', 'E'] -> ((E / B) + 2) * B base 16
[3770] ['2', 'B', 'B', '11'] -> ((B / B) + 11) * 2 base 16
[3771] ['2', 'B', 'B', '13'] -> (13 - (B / B)) * 2 base 16
[3772] ['2', 'B', 'B', '31'] -> ((B * B) - 31) / 2 base 16
[3773] ['2', 'B', 'C', 'D'] -> ((B + D) * 2) - C base 16
[3774] ['1', '2', '18', '21'] -> 21 / (1 - (2 / 18)) base 16
[3775] ['2', 'B', 'C', '19'] -> (19 - (2 * B)) * C base 16
[3776] ['2', 'B', 'C', '1C'] -> ((1C / 2) - B) * C base 16
[3777] ['2', 'B', 'D', '2C'] -> (2 - (D / B)) * 2C base 16
[3778] ['2', 'B', 'E', '2E'] -> ((2E * B) - 2) / E base 16
[3779] ['2', 'B', 'F', '17'] -> ((B + F) / 2) + 17 base 16
[3780] ['2', 'B', 'F', '21'] -> ((21 / B) + F) * 2 base 16
[3781] ['2', 'B', 'F', '23'] -> ((23 + F) / 2) + B base 16
[3782] ['2', 'B', 'F', '31'] -> 31 - ((B + F) / 2) base 16
[3783] ['2', 'B', '10', '22'] -> ((10 + 22) / 2) + B base 16
[3784] ['2', 'B', '10', '25'] -> ((25 - B) * 2) - 10 base 16
[3785] ['1', '2', '18', '27'] -> 27 / ((2 / 18) + 1) base 16
[3786] ['2', 'B', '11', '14'] -> ((11 + B) * 2) - 14 base 16
[3787] ['2', 'B', '11', '1B'] -> ((1B + B) / 2) + 11 base 16
[3788] ['2', 'B', '12', '15'] -> 12 / (B - (15 / 2)) base 16
[3789] ['2', 'B', '12', '17'] -> 12 / ((17 / 2) - B) base 16
[3790] ['2', 'B', '13', '15'] -> ((13 + B) / 2) + 15 base 16
[3791] ['2', 'B', '13', '1F'] -> ((13 + 1F) / 2) + B base 16
[3792] ['2', 'B', '14', '15'] -> ((15 + B) / 2) + 14 base 16
[3793] ['2', 'B', '14', '1A'] -> ((14 + B) * 2) - 1A base 16
[3794] ['2', 'B', '14', '1E'] -> ((14 + 1E) / 2) + B base 16
[3795] ['2', 'B', '14', '27'] -> ((27 - B) * 2) - 14 base 16
[3796] ['1', '1', '4', '2C'] -> 2C - ((1 + 1) * 4) base 16
[3797] ['1', '2', '18', '2C'] -> 2C - (18 / (1 + 2)) base 16
[3798] ['2', 'B', '14', '2C'] -> (14 * 2) - (2C / B) base 16
[3799] ['2', 'B', '15', '1D'] -> ((15 + 1D) / 2) + B base 16
[3800] ['2', 'B', '15', '21'] -> (15 - (21 / B)) * 2 base 16
[3801] ['2', 'B', '16', '18'] -> (2 - (B / 16)) * 18 base 16
[3802] ['2', 'B', '16', '1E'] -> ((16 + B) * 2) - 1E base 16
[3803] ['2', 'B', '16', '2C'] -> (16 - (2C / B)) * 2 base 16
[3804] ['2', 'B', '17', '20'] -> ((17 + B) * 2) - 20 base 16
[3805] ['2', 'B', '18', '1A'] -> ((18 + 1A) / 2) + B base 16
[3806] ['2', 'B', '18', '29'] -> ((29 - B) * 2) - 18 base 16
[3807] ['2', 'B', '1C', '2B'] -> ((2B - B) * 2) - 1C base 16
[3808] ['1', '2', '18', '2E'] -> ((18 + 2E) / 2) + 1 base 16
[3809] ['2', 'B', '1D', '2C'] -> ((1D + B) * 2) - 2C base 16
[3810] ['2', 'B', '1E', '2E'] -> ((1E + B) * 2) - 2E base 16
[3811] ['2', 'B', '1F', '2C'] -> ((1F / B) - 2) * 2C base 16
[3812] ['2', 'B', '1F', '30'] -> ((1F + B) * 2) - 30 base 16
[3813] ['2', 'B', '20', '2A'] -> ((2 + 2A) / B) + 20 base 16
[3814] ['2', 'B', '20', '2D'] -> ((2D - B) * 2) - 20 base 16
[3815] ['2', 'B', '21', '22'] -> ((22 / B) - 2) * 21 base 16
[3816] ['2', 'B', '21', '27'] -> (27 / (2 + B)) + 21 base 16
[3817] ['2', 'B', '22', '2E'] -> ((2E - B) * 2) - 22 base 16
[3818] ['2', 'B', '26', '30'] -> ((30 - B) * 2) - 26 base 16
[3819] ['1', '2', '19', '21'] -> (21 / (1 + 2)) + 19 base 16
[3820] ['2', 'B', '27', '27'] -> 27 - (27 / (2 + B)) base 16
[3821] ['2', 'B', '28', '2A'] -> 28 - ((2 + 2A) / B) base 16
[3822] ['2', 'B', '28', '31'] -> ((31 - B) * 2) - 28 base 16
[3823] ['2', 'C', 'C', '13'] -> (13 - (C / C)) * 2 base 16
[3824] ['2', 'C', 'C', '14'] -> C / (2 - (14 / C)) base 16
[3825] ['2', 'C', 'C', '15'] -> ((2 * C) - 15) * C base 16
[3826] ['2', 'C', 'C', '1B'] -> (1B - (2 * C)) * C base 16
[3827] ['2', 'C', 'C', '1C'] -> C / ((1C / C) - 2) base 16
[3828] ['2', 'C', 'D', '14'] -> (D - (14 / 2)) * C base 16
[3829] ['2', 'C', 'D', '17'] -> ((2 * D) - 17) * C base 16
[3830] ['1', '2', '19', '25'] -> (1 + 2) * (25 - 19) base 16
[3831] ['2', 'C', 'D', '20'] -> ((20 / 2) - D) * C base 16
[3832] ['2', 'C', 'E', 'E'] -> ((E / E) + 2) * C base 16
[3833] ['2', 'C', 'E', '16'] -> (E - (16 / 2)) * C base 16
[3834] ['2', 'C', 'E', '19'] -> ((2 * E) - 19) * C base 16
[3835] ['2', 'C', 'E', '1E'] -> 1E / (2 - (E / C)) base 16
[3836] ['2', 'C', 'E', '26'] -> ((26 - E) * 2) - C base 16
[3837] ['2', 'C', 'E', '31'] -> 31 - ((C + E) / 2) base 16
[3838] ['2', 'C', 'F', '13'] -> F / (2 - (13 / C)) base 16
[3839] ['2', 'C', 'F', '19'] -> C / (2 - (19 / F)) base 16
[3840] ['2', 'C', 'F', '1D'] -> F / ((1D / C) - 2) base 16
[3841] ['1', '2', '19', '27'] -> ((1 + 2) * 19) - 27 base 16
[3842] ['2', 'C', 'F', '30'] -> (2 - (F / C)) * 30 base 16
[3843] ['2', 'C', '10', '23'] -> (23 - (10 * 2)) * C base 16
[3844] ['2', 'C', '10', '2D'] -> 2D / (2 - (C / 10)) base 16
[3845] ['2', 'C', '11', '11'] -> ((11 / 11) + 2) * C base 16
[3846] ['2', 'C', '11', '15'] -> 15 / (2 - (11 / C)) base 16
[3847] ['2', 'C', '11', '1C'] -> (11 - (1C / 2)) * C base 16
[3848] ['2', 'C', '11', '25'] -> (25 - (11 * 2)) * C base 16
[3849] ['2', 'C', '11', '28'] -> ((28 / 2) - 11) * C base 16
[3850] ['2', 'C', '11', '29'] -> ((29 - 11) * 2) - C base 16
[3851] ['2', 'C', '12', '19'] -> 12 / ((19 / 2) - C) base 16
[3852] ['1', '2', '19', '2D'] -> ((19 + 2D) / 2) + 1 base 16
[3853] ['2', 'C', '13', '13'] -> ((13 / 13) + 2) * C base 16
[3854] ['2', 'C', '13', '1A'] -> ((13 + C) * 2) - 1A base 16
[3855] ['2', 'C', '13', '1D'] -> ((13 + 1D) / 2) + C base 16
[3856] ['2', 'C', '13', '20'] -> (13 - (20 / 2)) * C base 16
[3857] ['2', 'C', '13', '23'] -> ((13 * 2) - 23) * C base 16
[3858] ['2', 'C', '13', '2B'] -> ((2B - 13) * 2) - C base 16
[3859] ['2', 'C', '13', '2C'] -> ((2C / 2) - 13) * C base 16
[3860] ['2', 'C', '14', '25'] -> ((14 * 2) - 25) * C base 16
[3861] ['2', 'C', '14', '2B'] -> (2B - (14 * 2)) * C base 16
[3862] ['2', 'C', '14', '30'] -> (14 * 2) - (30 / C) base 16
[3863] ['1', '2', '1A', '20'] -> ((20 - 1) * 2) - 1A base 16
[3864] ['2', 'C', '15', '1E'] -> ((15 + C) * 2) - 1E base 16
[3865] ['2', 'C', '15', '1F'] -> 15 / ((1F / C) - 2) base 16
[3866] ['2', 'C', '15', '23'] -> C / (2 - (23 / 15)) base 16
[3867] ['2', 'C', '15', '30'] -> ((30 / 2) - 15) * C base 16
[3868] ['2', 'C', '15', '31'] -> C / ((31 / 15) - 2) base 16
[3869] ['2', 'C', '16', '16'] -> ((16 / 16) + 2) * C base 16
[3870] ['2', 'C', '16', '1A'] -> ((16 + 1A) / 2) + C base 16
[3871] ['2', 'C', '16', '20'] -> ((16 + C) * 2) - 20 base 16
[3872] ['2', 'C', '16', '2E'] -> ((2E - 16) * 2) - C base 16
[3873] ['2', 'C', '16', '2F'] -> (2F - (16 * 2)) * C base 16
[3874] ['1', '2', '1A', '26'] -> (1 + 2) * (26 - 1A) base 16
[3875] ['2', 'C', '17', '19'] -> ((17 + 19) / 2) + C base 16
[3876] ['2', 'C', '17', '22'] -> ((17 + C) * 2) - 22 base 16
[3877] ['2', 'C', '17', '28'] -> (17 - (28 / 2)) * C base 16
[3878] ['2', 'C', '17', '2B'] -> ((17 * 2) - 2B) * C base 16
[3879] ['2', 'C', '17', '2F'] -> ((2F - 17) * 2) - C base 16
[3880] ['2', 'C', '18', '1B'] -> ((1B / 2) - C) * 18 base 16
[3881] ['2', 'C', '18', '2D'] -> ((18 * 2) - 2D) * C base 16
[3882] ['2', 'C', '19', '26'] -> ((19 + C) * 2) - 26 base 16
[3883] ['2', 'C', '19', '2C'] -> (19 - (2C / 2)) * C base 16
[3884] ['2', 'C', '19', '31'] -> ((31 - 19) * 2) - C base 16
[3885] ['1', '2', '1A', '27'] -> (1 - (2 / 1A)) * 27 base 16
[3886] ['2', 'C', '1A', '1A'] -> ((1A / 1A) + 2) * C base 16
[3887] ['2', 'C', '1A', '28'] -> ((1A + C) * 2) - 28 base 16
[3888] ['2', 'C', '1A', '2E'] -> (1A - (2E / 2)) * C base 16
[3889] ['2', 'C', '1A', '31'] -> ((1A * 2) - 31) * C base 16
[3890] ['2', 'C', '1B', '1B'] -> ((1B / 1B) + 2) * C base 16
[3891] ['2', 'C', '1B', '28'] -> ((28 / C) - 2) * 1B base 16
[3892] ['2', 'C', '1B', '2D'] -> C / (2 - (2D / 1B)) base 16
[3893] ['2', 'C', '1B', '30'] -> (1B - (30 / 2)) * C base 16
[3894] ['2', 'C', '1D', '1D'] -> ((1D / 1D) + 2) * C base 16
[3895] ['2', 'C', '1D', '2E'] -> ((1D + C) * 2) - 2E base 16
[3896] ['1', '2', '1A', '2A'] -> ((1 + 2) * 1A) - 2A base 16
[3897] ['2', 'C', '1E', '22'] -> 1E / ((22 / C) - 2) base 16
[3898] ['2', 'C', '1F', '1F'] -> ((1F / 1F) + 2) * C base 16
[3899] ['2', 'C', '21', '21'] -> ((21 / 21) + 2) * C base 16
[3900] ['2', 'C', '21', '23'] -> 21 / ((23 / C) - 2) base 16
[3901] ['2', 'C', '21', '30'] -> ((21 / C) - 2) * 30 base 16
[3902] ['2', 'C', '22', '22'] -> ((22 / 22) + 2) * C base 16
[3903] ['2', 'C', '23', '23'] -> ((23 / 23) + 2) * C base 16
[3904] ['2', 'C', '25', '25'] -> ((25 / 25) + 2) * C base 16
[3905] ['2', 'C', '25', '27'] -> 27 / ((25 / C) - 2) base 16
[3906] ['2', 'C', '26', '26'] -> ((26 / 26) + 2) * C base 16
[3907] ['1', '1', '4', '2D'] -> 2D / ((1 / 4) + 1) base 16
[3908] ['1', '2', '1B', '1B'] -> (1B / (1 + 2)) + 1B base 16
[3909] ['2', 'C', '26', '2A'] -> 2A / ((26 / C) - 2) base 16
[3910] ['2', 'C', '27', '27'] -> ((27 / 27) + 2) * C base 16
[3911] ['2', 'C', '27', '2A'] -> 27 - (2A / (2 + C)) base 16
[3912] ['2', 'C', '28', '30'] -> 30 / ((28 / C) - 2) base 16
[3913] ['2', 'C', '29', '29'] -> ((29 / 29) + 2) * C base 16
[3914] ['2', 'C', '2B', '2B'] -> ((2B / 2B) + 2) * C base 16
[3915] ['2', 'C', '2C', '2C'] -> ((2C / 2C) + 2) * C base 16
[3916] ['2', 'C', '2D', '2D'] -> ((2D / 2D) + 2) * C base 16
[3917] ['2', 'C', '2E', '2E'] -> ((2E / 2E) + 2) * C base 16
[3918] ['2', 'C', '2F', '2F'] -> ((2F / 2F) + 2) * C base 16
[3919] ['1', '2', '1B', '27'] -> (1 + 2) * (27 - 1B) base 16
[3920] ['2', 'C', '2F', '31'] -> ((2F + 31) / 2) - C base 16
[3921] ['2', 'C', '31', '31'] -> ((31 / 31) + 2) * C base 16
[3922] ['2', 'D', 'D', '10'] -> ((D + D) * 2) - 10 base 16
[3923] ['2', 'D', 'D', '11'] -> ((D / D) + 11) * 2 base 16
[3924] ['2', 'D', 'D', '13'] -> (13 - (D / D)) * 2 base 16
[3925] ['2', 'D', 'E', '1F'] -> ((1F + D) / 2) + E base 16
[3926] ['2', 'D', 'E', '20'] -> ((20 + E) / 2) + D base 16
[3927] ['2', 'D', 'F', '16'] -> ((D + F) / 2) + 16 base 16
[3928] ['2', 'D', 'F', '1D'] -> ((1D + D) / 2) + F base 16
[3929] ['2', 'D', 'F', '1F'] -> ((1F + F) / 2) + D base 16
[3930] ['1', '2', '1B', '2B'] -> ((1B + 2B) / 2) + 1 base 16
[3931] ['2', 'D', 'F', '27'] -> ((27 / D) + F) * 2 base 16
[3932] ['2', 'D', '10', '16'] -> ((10 + D) * 2) - 16 base 16
[3933] ['2', 'D', '10', '1B'] -> ((1B + D) / 2) + 10 base 16
[3934] ['2', 'D', '10', '27'] -> ((27 - D) * 2) - 10 base 16
[3935] ['2', 'D', '11', '15'] -> ((11 + D) / 2) + 15 base 16
[3936] ['2', 'D', '11', '18'] -> ((11 + D) * 2) - 18 base 16
[3937] ['2', 'D', '11', '19'] -> ((19 + D) / 2) + 11 base 16
[3938] ['2', 'D', '11', '1D'] -> ((11 + 1D) / 2) + D base 16
[3939] ['2', 'D', '12', '19'] -> 12 / (D - (19 / 2)) base 16
[3940] ['2', 'D', '12', '1B'] -> 12 / ((1B / 2) - D) base 16
[3941] ['1', '2', '1B', '2F'] -> ((1B + 2F) / 2) - 1 base 16
[3942] ['2', 'D', '13', '14'] -> ((13 + D) / 2) + 14 base 16
[3943] ['2', 'D', '13', '1B'] -> ((13 + 1B) / 2) + D base 16
[3944] ['2', 'D', '15', '19'] -> ((15 + 19) / 2) + D base 16
[3945] ['2', 'D', '15', '27'] -> (15 - (27 / D)) * 2 base 16
[3946] ['2', 'D', '16', '18'] -> ((16 + 18) / 2) + D base 16
[3947] ['2', 'D', '16', '2A'] -> ((2A - D) * 2) - 16 base 16
[3948] ['2', 'D', '18', '1A'] -> (2 - (D / 1A)) * 18 base 16
[3949] ['2', 'D', '18', '2B'] -> ((2B - D) * 2) - 18 base 16
[3950] ['2', 'D', '19', '28'] -> ((19 + D) * 2) - 28 base 16
[3951] ['2', 'D', '1A', '2A'] -> ((1A + D) * 2) - 2A base 16
[3952] ['1', '2', '1C', '1F'] -> ((1 + 1F) * 2) - 1C base 16
[3953] ['2', 'D', '1C', '2D'] -> ((2D - D) * 2) - 1C base 16
[3954] ['2', 'D', '1C', '2E'] -> ((1C + D) * 2) - 2E base 16
[3955] ['2', 'D', '1D', '30'] -> ((1D + D) * 2) - 30 base 16
[3956] ['2', 'D', '1E', '2E'] -> ((2E - D) * 2) - 1E base 16
[3957] ['2', 'D', '20', '2F'] -> ((2F - D) * 2) - 20 base 16
[3958] ['2', 'D', '21', '25'] -> ((2 + 25) / D) + 21 base 16
[3959] ['2', 'D', '21', '2D'] -> (2D / (2 + D)) + 21 base 16
[3960] ['2', 'D', '22', '30'] -> ((30 - D) * 2) - 22 base 16
[3961] ['2', 'D', '26', '27'] -> ((26 / D) - 2) * 27 base 16
[3962] ['2', 'D', '27', '2D'] -> 27 - (2D / (2 + D)) base 16
[3963] ['1', '2', '1C', '21'] -> ((21 - 1) * 2) - 1C base 16
[3964] ['2', 'E', 'E', '13'] -> (13 - (E / E)) * 2 base 16
[3965] ['2', 'E', 'E', '14'] -> ((E + E) * 2) - 14 base 16
[3966] ['2', 'E', 'E', '1E'] -> ((1E + E) / 2) + E base 16
[3967] ['2', 'E', 'F', '16'] -> ((E + F) * 2) - 16 base 16
