[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[62] ['4i', '(2+i)', '(2+3i)', '(3+i)'] -> (2+3i + 2+i) * (3+i - 4i)
[63] ['4i', '(2+i)', '(2+5i)', '(3+4i)'] -> (2+5i - (2+i * 3+4i)) * 4i
[64] ['4i', '(2+i)', '(2+5i)', '5'] -> ((5 / 2+i) - 2+5i) * 4i
[65] ['4i', '(2+i)', '(2+6i)', '(4+2i)'] -> ((4+2i / 2+i) - 2+6i) * 4i
[66] ['4i', '(2+i)', '3', '4'] -> ((2+i * 4) - 4i) * 3
[67] ['4i', '(2+i)', '(3+2i)', '(4+i)'] -> (4+i - (2+i * 3+2i)) * 4i
[68] ['4i', '(2+i)', '(3+3i)', '(3+3i)'] -> (3+3i - (2+i * 3+3i)) * 4i
[69] ['i', '(2+i)', '(2+5i)', '(4+4i)'] -> ((2+5i / i) - 2+i) * 4+4i
[70] ['4i', '(2+i)', '(3+5i)', '(4+4i)'] -> (2+i * 4+4i) - (3+5i * 4i)
[71] ['4i', '(2+i)', '(3+6i)', '(6+3i)'] -> ((6+3i / 2+i) - 3+6i) * 4i
[72] ['4i', '(2+i)', '4', '4'] -> ((2+i + 4) * 4) - 4i
[73] ['4i', '(2+i)', '4', '(5+2i)'] -> (4 * 5+2i) - (2+i * 4i)
[74] ['4i', '(2+i)', '4', '(6+3i)'] -> (4 - (4i / 2+i)) * 6+3i
[75] ['4i', '(2+i)', '(4+2i)', '(6+2i)'] -> (6+2i - (2+i * 4+2i)) * 4i
[76] ['4i', '(1+4i)', '3', '(3+i)'] -> (1+4i + 3) * (3+i - 4i)
[77] ['4i', '(1+4i)', '3', '(3+6i)'] -> (3+6i - (1+4i * 3)) * 4i
[78] ['4i', '(1+4i)', '(3+2i)', '(6+2i)'] -> (3+2i - 1+4i) * (4i + 6+2i)
[79] ['4i', '(1+4i)', '4', '(4+i)'] -> (4 + 4i) * (4+i - 1+4i)
[80] ['i', '(2+i)', '(3+3i)', '(3+6i)'] -> ((3+6i / i) - 2+i) * 3+3i
[81] ['4i', '(1+4i)', '4', '(4+5i)'] -> (1+4i * 4) - (4+5i * 4i)
[82] ['4i', '(1+4i)', '(5+4i)', '(6+i)'] -> ((5+4i - 1+4i) * 6+i) - 4i
[83] ['4i', '(1+5i)', '(1+5i)', '(1+6i)'] -> ((1+5i / 1+5i) - 1+6i) * 4i
[84] ['4i', '(1+5i)', '(1+5i)', '(4+4i)'] -> ((4+4i / 1+5i) - 4i) * 1+5i
[85] ['4i', '(1+5i)', '2', '(2+2i)'] -> (2 * 2+2i) - (1+5i * 4i)
[86] ['4i', '(1+5i)', '(2+2i)', '4'] -> ((4 / 2+2i) - 1+5i) * 4i
[87] ['4i', '(1+5i)', '(2+2i)', '(5+i)'] -> (1+5i + 5+i) * (2+2i - 4i)
[88] ['4i', '(1+5i)', '(2+3i)', '(5+i)'] -> ((5+i / 2+3i) - 1+5i) * 4i
[89] ['4i', '(1+5i)', '(2+4i)', '(6+2i)'] -> ((6+2i / 2+4i) - 1+5i) * 4i
[90] ['4i', '(1+5i)', '(2+6i)', '(4+i)'] -> (4+i * 4i) - (1+5i * 2+6i)
[91] ['i', '(2+2i)', '(2+6i)', '(3+3i)'] -> ((2+6i / i) - 2+2i) * 3+3i
[92] ['4i', '(1+5i)', '(3+2i)', '4'] -> ((4 / 3+2i) - 4i) * 1+5i
[93] ['4i', '(1+5i)', '(3+3i)', '6'] -> ((6 / 3+3i) - 1+5i) * 4i
[94] ['4i', '(1+5i)', '(3+3i)', '(6+2i)'] -> (3+3i - 1+5i) * (4i + 6+2i)
[95] ['4i', '(1+5i)', '4', '(4+2i)'] -> (4 + 4i) * (4+2i - 1+5i)
[96] ['4i', '(1+5i)', '(5+i)', '(5+4i)'] -> ((5+4i - 4i) * 5+i) - 1+5i
[97] ['4i', '(1+6i)', '(1+6i)', '(1+6i)'] -> ((1+6i / 1+6i) - 1+6i) * 4i
[98] ['4i', '(1+6i)', '2', '2'] -> ((2 / 2) - 1+6i) * 4i
[99] ['4i', '(1+6i)', '2', '(2+6i)'] -> (2+6i - (1+6i * 2)) * 4i
[100] ['4i', '(1+6i)', '(2+i)', '(2+i)'] -> ((2+i / 2+i) - 1+6i) * 4i
[101] ['4i', '(1+6i)', '(2+2i)', '(2+2i)'] -> ((2+2i / 2+2i) - 1+6i) * 4i
[102] ['i', '(2+2i)', '(2+6i)', '(4+5i)'] -> ((2+2i * 4+5i) + 2+6i) / i
[103] ['4i', '(1+6i)', '(2+2i)', '5'] -> (1+6i + 5) * (2+2i - 4i)
[104] ['4i', '(1+6i)', '(2+3i)', '(2+3i)'] -> ((2+3i / 2+3i) - 1+6i) * 4i
[105] ['4i', '(1+6i)', '(2+4i)', '(2+4i)'] -> ((2+4i / 2+4i) - 1+6i) * 4i
[106] ['4i', '(1+6i)', '(2+5i)', '(2+5i)'] -> ((2+5i / 2+5i) - 1+6i) * 4i
[107] ['4i', '(1+6i)', '(2+6i)', '(2+6i)'] -> ((2+6i / 2+6i) - 1+6i) * 4i
[108] ['4i', '(1+6i)', '3', '3'] -> ((3 / 3) - 1+6i) * 4i
[109] ['4i', '(1+6i)', '(3+i)', '(3+i)'] -> ((3+i / 3+i) - 1+6i) * 4i
[110] ['4i', '(2+i)', '(4+3i)', '(5+4i)'] -> (5+4i - (2+i * 4+3i)) * 4i
[111] ['4i', '(2+i)', '(6+i)', '(6+i)'] -> ((6+i - 2+i) * 6+i) - 4i
[112] ['4i', '(2+2i)', '(2+2i)', '(2+6i)'] -> (2+2i * 2+2i) - (2+6i * 4i)
[113] ['2i', '2i', '5i', '6i'] -> (2i + 6i) * (2i - 5i)
[114] ['i', '(2+3i)', '(4+3i)', '5'] -> (4+3i + i) * (5 - 2+3i)
[115] ['4i', '(2+2i)', '(2+2i)', '(3+i)'] -> (2+2i + 2+2i) * (3+i - 4i)
[116] ['4i', '(2+2i)', '(2+2i)', '(4+4i)'] -> (2+2i + 4+4i) * (2+2i - 4i)
[117] ['4i', '(2+2i)', '(2+3i)', '(4+3i)'] -> (2+2i - 4i) * (2+3i + 4+3i)
[118] ['4i', '(2+2i)', '(2+4i)', '(3+2i)'] -> (2+4i - (2+2i * 3+2i)) * 4i
[119] ['4i', '(2+2i)', '(2+4i)', '(4+2i)'] -> (2+2i - 4i) * (2+4i + 4+2i)
[120] ['4i', '(2+2i)', '(2+5i)', '(3+i)'] -> (2+2i * 3+i) - (2+5i * 4i)
[121] ['4i', '(2+2i)', '(2+5i)', '(6+2i)'] -> ((6+2i / 2+2i) - 2+5i) * 4i
[122] ['4i', '(2+2i)', '(2+6i)', '(3+i)'] -> (2+6i - (3+i * 4i)) * 2+2i
[123] ['4i', '(2+2i)', '(2+6i)', '4'] -> (2+2i - 4i) * (2+6i + 4)
[124] ['4i', '(2+2i)', '(2+6i)', '(4+4i)'] -> ((4+4i / 2+2i) - 2+6i) * 4i
[125] ['i', '(2+3i)', '(4+4i)', '(4+4i)'] -> ((2+3i * 4+4i) + 4+4i) / i
[126] ['4i', '(2+2i)', '3', '(3+6i)'] -> (2+2i - 4i) * (3 + 3+6i)
[127] ['4i', '(2+2i)', '3', '6'] -> (6 - (2+2i * 3)) * 4i
