[91] ['1', '22', '36', '44'] -> 36 / ((22 / 44) + 1)
[92] ['1', '23', '23', '47'] -> ((47 / 23) - 1) * 23
[93] ['1', '23', '35', '46'] -> ((35 / 23) - 1) * 46
[94] ['1', '23', '36', '46'] -> 36 / ((23 / 46) + 1)
[95] ['1', '25', '25', '49'] -> ((49 / 25) - 1) * 25
[96] ['1', '38', '43', '48'] -> 43 / ((38 / 48) + 1)
[97] ['1', '40', '44', '48'] -> 44 / ((40 / 48) + 1)
[98] ['1', '1', '23', '23'] -> ((1 / 23) + 1) * 23
[99] ['2', '2', '3', '45'] -> (3 / 2) + (45 / 2)
[100] ['1', '1', '25', '25'] -> (1 - (1 / 25)) * 25
[101] ['2', '4', '7', '48'] -> (4 - (7 / 2)) * 48
[102] ['2', '4', '8', '47'] -> (4 / 8) + (47 / 2)
[103] ['2', '4', '8', '49'] -> (49 / 2) - (4 / 8)
[104] ['2', '4', '10', '10'] -> ((4 / 10) + 2) * 10
[105] ['2', '4', '11', '36'] -> 36 / ((11 / 2) - 4)
[106] ['1', '28', '40', '42'] -> 40 / ((28 / 42) + 1)
[107] ['1', '28', '42', '44'] -> ((44 / 28) - 1) * 42
[108] ['1', '30', '39', '48'] -> 39 / ((30 / 48) + 1)
[109] ['1', '30', '40', '42'] -> 42 / ((30 / 40) + 1)
[110] ['1', '30', '45', '46'] -> ((46 / 30) - 1) * 45
[111] ['1', '30', '45', '48'] -> ((45 / 30) - 1) * 48
[112] ['1', '25', '30', '44'] -> 44 / ((25 / 30) + 1)
[113] ['1', '25', '30', '45'] -> ((45 / 25) - 1) * 30
[114] ['1', '26', '37', '48'] -> 37 / ((26 / 48) + 1)
[115] ['1', '26', '39', '48'] -> ((39 / 26) - 1) * 48
[116] ['1', '27', '36', '45'] -> ((45 / 27) - 1) * 36
[117] ['1', '28', '32', '45'] -> 45 / ((28 / 32) + 1)
[118] ['1', '28', '32', '49'] -> ((49 / 28) - 1) * 32
[119] ['1', '28', '38', '48'] -> 38 / ((28 / 48) + 1)
[120] ['1', '32', '48', '48'] -> ((48 / 32) - 1) * 48
[121] ['1', '33', '42', '44'] -> 42 / ((33 / 44) + 1)
[122] ['2', '4', '12', '47'] -> 2 / (4 - (47 / 12))
[123] ['2', '4', '12', '49'] -> 2 / ((49 / 12) - 4)
[124] ['1', '2', '8', '45'] -> 45 / (2 - (1 / 8))
[125] ['2', '4', '14', '14'] -> (2 - (4 / 14)) * 14
[126] ['2', '4', '32', '45'] -> 45 / (2 - (4 / 32))
[127] ['2', '5', '5', '10'] -> (5 - (2 / 10)) * 5
[128] ['2', '5', '5', '14'] -> ((14 / 5) + 2) * 5
[129] ['2', '5', '5', '34'] -> ((34 / 5) - 2) * 5
[130] ['2', '5', '7', '16'] -> (5 - (7 / 2)) * 16
[131] ['2', '5', '7', '40'] -> (2 - (7 / 5)) * 40
[132] ['2', '5', '10', '47'] -> (47 / 2) + (5 / 10)
[133] ['1', '34', '41', '48'] -> 41 / ((34 / 48) + 1)
[134] ['1', '35', '40', '45'] -> 45 / ((35 / 40) + 1)
[135] ['1', '35', '42', '44'] -> 44 / ((35 / 42) + 1)
[136] ['1', '36', '42', '48'] -> 42 / ((36 / 48) + 1)
[137] ['2', '6', '12', '47'] -> (47 / 2) + (6 / 12)
[138] ['2', '6', '12', '49'] -> (49 / 2) - (6 / 12)
[139] ['2', '6', '13', '48'] -> ((13 / 2) - 6) * 48
[140] ['1', '1', '3', '32'] -> 32 / ((1 / 3) + 1)
[141] ['2', '6', '14', '21'] -> (2 - (6 / 21)) * 14
[142] ['2', '6', '15', '15'] -> (2 - (6 / 15)) * 15
[143] ['2', '6', '15', '16'] -> ((15 / 2) - 6) * 16
[144] ['2', '6', '16', '39'] -> 39 / (2 - (6 / 16))
[145] ['2', '6', '20', '45'] -> 6 / ((45 / 20) - 2)
[146] ['1', '2', '14', '28'] -> (1 - (2 / 14)) * 28
[147] ['2', '5', '40', '45'] -> 45 / (2 - (5 / 40))
[148] ['2', '6', '10', '15'] -> ((6 / 15) + 2) * 10
[149] ['2', '6', '11', '48'] -> (6 - (11 / 2)) * 48
[150] ['2', '5', '11', '48'] -> ((11 / 2) - 5) * 48
[151] ['2', '5', '13', '36'] -> 36 / ((13 / 2) - 5)
[152] ['2', '5', '15', '40'] -> 40 / (2 - (5 / 15))
[153] ['2', '5', '20', '42'] -> 42 / (2 - (5 / 20))
[154] ['2', '6', '33', '37'] -> (33 / 6) + (37 / 2)
[155] ['2', '6', '35', '39'] -> (35 / 2) + (39 / 6)
[156] ['2', '7', '7', '10'] -> ((10 / 7) + 2) * 7
[157] ['2', '7', '7', '38'] -> ((38 / 7) - 2) * 7
[158] ['1', '2', '18', '27'] -> (1 - (2 / 18)) * 27
[159] ['2', '7', '11', '36'] -> 36 / (7 - (11 / 2))
[160] ['2', '7', '12', '15'] -> 12 / ((15 / 2) - 7)
[161] ['2', '7', '42', '44'] -> 44 / (2 - (7 / 42))
[162] ['2', '8', '12', '15'] -> 12 / (8 - (15 / 2))
[163] ['2', '8', '12', '45'] -> (12 / 8) + (45 / 2)
[164] ['2', '8', '13', '36'] -> 36 / (8 - (13 / 2))
[165] ['2', '8', '16', '19'] -> ((19 / 2) - 8) * 16
[166] ['2', '8', '16', '47'] -> (47 / 2) + (8 / 16)
[167] ['2', '8', '16', '49'] -> (49 / 2) - (8 / 16)
[168] ['2', '8', '17', '48'] -> ((17 / 2) - 8) * 48
[169] ['2', '8', '19', '36'] -> 36 / ((19 / 2) - 8)
[170] ['2', '8', '21', '23'] -> 21 / ((23 / 8) - 2)
[171] ['2', '8', '25', '27'] -> 27 / ((25 / 8) - 2)
[172] ['2', '8', '28', '41'] -> (28 / 8) + (41 / 2)
[173] ['2', '8', '29', '39'] -> 39 / ((29 / 8) - 2)
[174] ['2', '8', '30', '42'] -> 42 / ((30 / 8) - 2)
