[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[1580] ['21', '27', '38', '43'] -> ((38 + 43) / 27) + 21
[1581] ['2', '2', '15', '16'] -> ((16 + 2) / 2) + 15
[1582] ['21', '27', '39', '41'] -> (21 + 27) / (41 - 39)
[1583] ['21', '27', '40', '41'] -> ((40 + 41) / 27) + 21
[1584] ['21', '27', '40', '42'] -> (21 + 27) / (42 - 40)
[1585] ['21', '27', '41', '43'] -> (21 + 27) / (43 - 41)
[1586] ['21', '27', '41', '47'] -> ((27 * 41) + 21) / 47
[1587] ['21', '27', '42', '44'] -> (21 + 27) / (44 - 42)
[1588] ['21', '27', '43', '45'] -> (21 + 27) / (45 - 43)
[1589] ['21', '27', '44', '46'] -> (21 + 27) / (46 - 44)
[1590] ['21', '27', '44', '49'] -> ((21 * 49) + 27) / 44
[1591] ['21', '27', '45', '47'] -> (21 + 27) / (47 - 45)
[1592] ['2', '2', '15', '27'] -> (2 * 27) - (15 * 2)
[1593] ['21', '27', '47', '49'] -> (21 + 27) / (49 - 47)
[1594] ['21', '28', '31', '39'] -> ((31 - 28) * 21) - 39
[1595] ['21', '28', '34', '42'] -> ((21 * 34) - 42) / 28
[1596] ['21', '22', '35', '49'] -> ((21 + 49) / 35) + 22
[1597] ['21', '22', '39', '42'] -> (21 * 42) - (22 * 39)
[1598] ['21', '22', '45', '46'] -> (22 * 45) - (21 * 46)
[1599] ['21', '23', '26', '28'] -> ((23 - 21) * 26) - 28
[1600] ['21', '23', '26', '39'] -> ((26 - 23) * 21) - 39
[1601] ['21', '23', '26', '43'] -> ((26 + 43) / 23) + 21
[1602] ['21', '23', '27', '40'] -> 27 - ((23 + 40) / 21)
[1603] ['2', '2', '15', '28'] -> ((28 - 15) * 2) - 2
[1604] ['21', '23', '27', '42'] -> ((27 + 42) / 23) + 21
[1605] ['21', '23', '28', '32'] -> ((23 - 21) * 28) - 32
[1606] ['21', '23', '28', '36'] -> ((21 * 28) - 36) / 23
[1607] ['21', '23', '29', '34'] -> ((23 - 21) * 29) - 34
[1608] ['21', '23', '29', '40'] -> ((29 + 40) / 23) + 21
[1609] ['21', '23', '30', '34'] -> (21 * 34) - (23 * 30)
[1610] ['21', '23', '30', '36'] -> ((23 - 21) * 30) - 36
[1611] ['21', '23', '32', '37'] -> ((32 + 37) / 23) + 21
[1612] ['21', '23', '33', '36'] -> ((33 + 36) / 23) + 21
[1613] ['21', '23', '33', '42'] -> ((23 - 21) * 33) - 42
[1614] ['2', '2', '15', '33'] -> (15 / 2) + (33 / 2)
[1615] ['21', '23', '34', '35'] -> ((34 + 35) / 23) + 21
[1616] ['21', '23', '34', '44'] -> ((23 - 21) * 34) - 44
[1617] ['21', '23', '35', '46'] -> ((23 - 21) * 35) - 46
[1618] ['21', '23', '44', '45'] -> ((23 * 45) + 21) / 44
[1619] ['21', '39', '42', '45'] -> ((45 - 42) * 21) - 39
[1620] ['21', '39', '43', '46'] -> ((46 - 43) * 21) - 39
[1621] ['21', '39', '44', '47'] -> ((47 - 44) * 21) - 39
[1622] ['21', '39', '45', '48'] -> ((48 - 45) * 21) - 39
[1623] ['21', '39', '46', '49'] -> ((49 - 46) * 21) - 39
[1624] ['21', '40', '48', '48'] -> ((21 * 48) - 48) / 40
[1625] ['2', '2', '15', '37'] -> ((15 + 37) / 2) - 2
[1626] ['22', '22', '22', '22'] -> ((22 + 22) / 22) + 22
[1627] ['22', '22', '22', '23'] -> ((22 * 23) + 22) / 22
[1628] ['22', '22', '22', '25'] -> ((22 * 25) - 22) / 22
[1629] ['22', '22', '22', '26'] -> 26 - ((22 + 22) / 22)
[1630] ['22', '22', '22', '44'] -> ((22 * 22) + 44) / 22
[1631] ['22', '22', '25', '28'] -> ((22 + 28) / 25) + 22
[1632] ['22', '22', '25', '42'] -> ((25 - 22) * 22) - 42
[1633] ['22', '22', '26', '30'] -> ((22 + 30) / 26) + 22
[1634] ['22', '22', '27', '32'] -> ((22 + 32) / 27) + 22
[1635] ['22', '22', '27', '44'] -> 27 - ((22 + 44) / 22)
[1636] ['2', '2', '15', '42'] -> (42 - (15 * 2)) * 2
[1637] ['22', '22', '28', '34'] -> ((22 + 34) / 28) + 22
[1638] ['22', '22', '29', '36'] -> ((22 + 36) / 29) + 22
[1639] ['22', '22', '31', '40'] -> ((22 + 40) / 31) + 22
[1640] ['21', '29', '31', '45'] -> ((21 * 31) + 45) / 29
[1641] ['21', '29', '32', '39'] -> ((32 - 29) * 21) - 39
[1642] ['21', '29', '33', '39'] -> ((29 * 33) - 21) / 39
[1643] ['21', '29', '38', '49'] -> ((38 + 49) / 29) + 21
[1644] ['21', '29', '40', '47'] -> ((40 + 47) / 29) + 21
[1645] ['21', '29', '41', '46'] -> ((41 + 46) / 29) + 21
[1646] ['21', '29', '43', '44'] -> ((43 + 44) / 29) + 21
[1647] ['2', '2', '16', '29'] -> ((29 - 16) * 2) - 2
[1648] ['21', '30', '31', '34'] -> ((21 * 34) + 30) / 31
[1649] ['21', '30', '32', '38'] -> ((21 * 38) - 30) / 32
[1650] ['21', '30', '33', '39'] -> ((33 - 30) * 21) - 39
[1651] ['21', '30', '33', '46'] -> (30 * 33) - (21 * 46)
[1652] ['21', '30', '36', '36'] -> ((21 * 36) - 36) / 30
[1653] ['21', '30', '38', '42'] -> ((21 * 42) + 30) / 38
[1654] ['21', '30', '39', '46'] -> ((21 * 46) - 30) / 39
[1655] ['21', '30', '41', '49'] -> ((41 + 49) / 30) + 21
[1656] ['21', '30', '42', '48'] -> ((42 + 48) / 30) + 21
[1657] ['21', '30', '43', '47'] -> ((43 + 47) / 30) + 21
[1658] ['2', '2', '16', '33'] -> 33 - ((16 + 2) / 2)
[1659] ['21', '30', '44', '46'] -> ((44 + 46) / 30) + 21
[1660] ['21', '31', '33', '37'] -> ((21 * 37) - 33) / 31
[1661] ['21', '31', '34', '39'] -> ((34 - 31) * 21) - 39
[1662] ['21', '31', '44', '49'] -> ((44 + 49) / 31) + 21
[1663] ['21', '31', '46', '47'] -> ((46 + 47) / 31) + 21
[1664] ['21', '32', '33', '35'] -> ((21 * 35) + 33) / 32
[1665] ['21', '32', '35', '39'] -> ((35 - 32) * 21) - 39
[1666] ['21', '32', '47', '49'] -> ((47 + 49) / 32) + 21
[1667] ['21', '33', '35', '49'] -> ((33 * 35) + 21) / 49
[1668] ['21', '33', '36', '39'] -> ((36 - 33) * 21) - 39
[1669] ['1', '1', '16', '16'] -> (16 / (1 + 1)) + 16
[1670] ['2', '2', '16', '45'] -> 45 / (2 - (2 / 16))
[1671] ['21', '33', '38', '45'] -> ((21 * 45) - 33) / 38
[1672] ['21', '33', '39', '43'] -> ((21 * 43) + 33) / 39
[1673] ['21', '33', '40', '48'] -> ((21 * 40) - 48) / 33
[1674] ['21', '25', '32', '43'] -> ((32 + 43) / 25) + 21
[1675] ['21', '25', '33', '42'] -> ((33 + 42) / 25) + 21
[1676] ['21', '25', '34', '41'] -> ((34 + 41) / 25) + 21
[1677] ['21', '25', '35', '40'] -> ((35 + 40) / 25) + 21
[1678] ['21', '25', '36', '44'] -> (21 * 44) - (25 * 36)
[1679] ['21', '25', '37', '38'] -> ((37 + 38) / 25) + 21
[1680] ['21', '25', '45', '46'] -> ((25 * 45) - 21) / 46
[1681] ['2', '2', '17', '20'] -> (17 * 2) - (20 / 2)
[1682] ['21', '25', '47', '49'] -> (47 + 49) / (25 - 21)
[1683] ['21', '26', '26', '31'] -> 26 - ((21 + 31) / 26)
[1684] ['21', '26', '27', '28'] -> (21 + 27) / (28 - 26)
[1685] ['21', '26', '27', '31'] -> ((21 * 31) - 27) / 26
[1686] ['21', '26', '27', '37'] -> 27 - ((26 + 37) / 21)
[1687] ['21', '26', '28', '36'] -> ((21 * 28) + 36) / 26
[1688] ['21', '26', '29', '37'] -> 26 - ((21 + 37) / 29)
[1689] ['21', '26', '29', '39'] -> ((29 - 26) * 21) - 39
[1690] ['21', '26', '29', '49'] -> ((29 + 49) / 26) + 21
[1691] ['21', '26', '30', '48'] -> ((30 + 48) / 26) + 21
[1692] ['2', '2', '17', '22'] -> ((17 * 2) - 22) * 2
[1693] ['21', '26', '31', '41'] -> 26 - ((21 + 41) / 31)
[1694] ['21', '26', '31', '47'] -> ((31 + 47) / 26) + 21
[1695] ['21', '26', '32', '43'] -> 26 - ((21 + 43) / 32)
[1696] ['21', '26', '32', '46'] -> ((32 + 46) / 26) + 21
[1697] ['21', '26', '32', '48'] -> ((21 * 32) - 48) / 26
[1698] ['21', '26', '33', '42'] -> (21 * 42) - (26 * 33)
[1699] ['21', '26', '34', '44'] -> ((34 + 44) / 26) + 21
[1700] ['21', '26', '34', '47'] -> 26 - ((21 + 47) / 34)
[1701] ['21', '26', '35', '43'] -> ((35 + 43) / 26) + 21
[1702] ['21', '26', '35', '49'] -> 26 - ((21 + 49) / 35)
[1703] ['2', '2', '17', '30'] -> ((30 - 17) * 2) - 2
[1704] ['21', '26', '36', '42'] -> ((36 + 42) / 26) + 21
[1705] ['21', '26', '37', '41'] -> ((37 + 41) / 26) + 21
[1706] ['21', '27', '27', '29'] -> (21 + 27) / (29 - 27)
[1707] ['21', '27', '28', '30'] -> (21 + 27) / (30 - 28)
[1708] ['21', '34', '41', '45'] -> ((21 * 41) - 45) / 34
[1709] ['21', '35', '38', '39'] -> ((38 - 35) * 21) - 39
[1710] ['21', '35', '42', '42'] -> ((21 * 42) - 42) / 35
[1711] ['21', '36', '39', '39'] -> ((39 - 36) * 21) - 39
[1712] ['21', '36', '39', '43'] -> ((21 * 43) - 39) / 36
[1713] ['21', '36', '39', '45'] -> ((21 * 39) + 45) / 36
[1714] ['2', '2', '17', '35'] -> ((17 + 35) / 2) - 2
[1715] ['21', '36', '40', '44'] -> ((21 * 44) + 36) / 40
[1716] ['21', '37', '39', '40'] -> ((40 - 37) * 21) - 39
[1717] ['21', '38', '39', '41'] -> ((41 - 38) * 21) - 39
[1718] ['21', '39', '39', '42'] -> ((42 - 39) * 21) - 39
[1719] ['21', '39', '40', '43'] -> ((43 - 40) * 21) - 39
[1720] ['21', '39', '41', '44'] -> ((44 - 41) * 21) - 39
[1721] ['21', '39', '41', '45'] -> ((21 * 45) + 39) / 41
[1722] ['22', '22', '32', '42'] -> ((22 + 42) / 32) + 22
[1723] ['22', '22', '33', '37'] -> ((22 * 37) - 22) / 33
[1724] ['22', '22', '34', '46'] -> ((22 + 46) / 34) + 22
[1725] ['2', '2', '17', '46'] -> (46 - (17 * 2)) * 2
[1726] ['22', '22', '35', '48'] -> ((22 + 48) / 35) + 22
[1727] ['22', '22', '44', '47'] -> ((22 * 47) + 22) / 44
[1728] ['22', '22', '44', '49'] -> ((22 * 49) - 22) / 44
[1729] ['22', '23', '23', '23'] -> ((23 + 23) / 23) + 22
[1730] ['22', '23', '23', '25'] -> ((25 - 23) * 23) - 22
[1731] ['22', '23', '25', '26'] -> (22 + 26) / (25 - 23)
[1732] ['22', '23', '26', '28'] -> ((28 - 26) * 23) - 22
[1733] ['22', '23', '26', '42'] -> ((26 - 23) * 22) - 42
[1734] ['22', '23', '27', '29'] -> ((29 - 27) * 23) - 22
[1735] ['22', '23', '27', '31'] -> ((23 + 31) / 27) + 22
[1736] ['2', '2', '18', '19'] -> ((19 + 2) * 2) - 18
[1737] ['22', '23', '27', '43'] -> 27 - ((23 + 43) / 22)
[1738] ['22', '23', '27', '47'] -> 27 - ((22 + 47) / 23)
[1739] ['22', '23', '28', '30'] -> ((30 - 28) * 23) - 22
[1740] ['22', '23', '28', '33'] -> ((23 + 33) / 28) + 22
[1741] ['22', '23', '29', '31'] -> ((31 - 29) * 23) - 22
[1742] ['22', '23', '29', '35'] -> ((23 + 35) / 29) + 22
[1743] ['22', '23', '30', '32'] -> ((32 - 30) * 23) - 22
[1744] ['22', '23', '30', '37'] -> ((23 + 37) / 30) + 22
[1745] ['22', '23', '31', '33'] -> ((33 - 31) * 23) - 22
[1746] ['22', '23', '31', '39'] -> ((23 + 39) / 31) + 22
[1747] ['2', '2', '18', '21'] -> (21 - (18 / 2)) * 2
[1748] ['22', '23', '32', '34'] -> ((34 - 32) * 23) - 22
[1749] ['22', '23', '32', '41'] -> ((23 + 41) / 32) + 22
[1750] ['22', '23', '33', '35'] -> ((35 - 33) * 23) - 22
[1751] ['22', '23', '33', '43'] -> ((23 + 43) / 33) + 22
[1752] ['22', '23', '34', '36'] -> ((36 - 34) * 23) - 22
[1753] ['22', '23', '34', '45'] -> ((23 + 45) / 34) + 22
[1754] ['22', '23', '35', '37'] -> ((37 - 35) * 23) - 22
[1755] ['22', '23', '35', '47'] -> ((23 + 47) / 35) + 22
[1756] ['22', '23', '36', '38'] -> ((38 - 36) * 23) - 22
[1757] ['22', '23', '36', '49'] -> ((23 + 49) / 36) + 22
[1758] ['2', '2', '18', '23'] -> ((23 - 2) * 2) - 18
[1759] ['22', '23', '37', '39'] -> ((39 - 37) * 23) - 22
[1760] ['22', '23', '38', '40'] -> ((40 - 38) * 23) - 22
[1761] ['22', '23', '39', '41'] -> ((41 - 39) * 23) - 22
[1762] ['22', '23', '40', '42'] -> ((42 - 40) * 23) - 22
[1763] ['22', '38', '42', '46'] -> ((38 + 46) / 42) + 22
[1764] ['22', '38', '43', '48'] -> ((38 + 48) / 43) + 22
[1765] ['22', '39', '39', '39'] -> ((39 + 39) / 39) + 22
[1766] ['22', '39', '40', '41'] -> ((39 + 41) / 40) + 22
[1767] ['22', '39', '41', '43'] -> ((39 + 43) / 41) + 22
[1768] ['22', '39', '42', '42'] -> ((42 - 39) * 22) - 42
[1769] ['2', '2', '18', '26'] -> ((18 + 26) / 2) + 2
[1770] ['22', '39', '42', '45'] -> ((39 + 45) / 42) + 22
[1771] ['22', '39', '43', '47'] -> ((39 + 47) / 43) + 22
[1772] ['22', '39', '44', '49'] -> ((39 + 49) / 44) + 22
[1773] ['22', '40', '40', '40'] -> ((40 + 40) / 40) + 22
[1774] ['22', '40', '41', '42'] -> ((40 + 42) / 41) + 22
[1775] ['22', '40', '42', '43'] -> ((43 - 40) * 22) - 42
[1776] ['22', '40', '43', '46'] -> ((40 + 46) / 43) + 22
[1777] ['22', '40', '44', '48'] -> ((40 + 48) / 44) + 22
[1778] ['22', '41', '41', '41'] -> ((41 + 41) / 41) + 22
[1779] ['22', '41', '42', '43'] -> ((41 + 43) / 42) + 22
[1780] ['1', '1', '16', '20'] -> ((1 + 1) * 20) - 16
[1781] ['2', '2', '18', '33'] -> ((2 * 33) - 18) / 2
[1782] ['22', '41', '42', '44'] -> ((44 - 41) * 22) - 42
[1783] ['22', '41', '43', '45'] -> ((41 + 45) / 43) + 22
[1784] ['22', '41', '44', '47'] -> ((41 + 47) / 44) + 22
[1785] ['22', '41', '45', '49'] -> ((41 + 49) / 45) + 22
[1786] ['22', '42', '42', '42'] -> ((42 + 42) / 42) + 22
[1787] ['22', '42', '43', '44'] -> ((42 + 44) / 43) + 22
[1788] ['22', '42', '44', '46'] -> ((42 + 46) / 44) + 22
[1789] ['22', '42', '44', '47'] -> ((47 - 44) * 22) - 42
[1790] ['22', '42', '46', '49'] -> ((49 - 46) * 22) - 42
[1791] ['22', '42', '48', '48'] -> ((22 * 48) - 48) / 42
[1792] ['2', '2', '18', '39'] -> ((18 / 2) + 39) / 2
[1793] ['22', '43', '43', '43'] -> ((43 + 43) / 43) + 22
[1794] ['22', '43', '45', '47'] -> ((43 + 47) / 45) + 22
[1795] ['22', '44', '44', '44'] -> ((44 + 44) / 44) + 22
[1796] ['22', '45', '47', '49'] -> ((45 + 49) / 47) + 22
[1797] ['22', '48', '48', '48'] -> ((48 + 48) / 48) + 22
[1798] ['22', '49', '49', '49'] -> ((49 + 49) / 49) + 22
[1799] ['23', '23', '23', '23'] -> ((23 * 23) + 23) / 23
[1800] ['23', '23', '23', '25'] -> ((23 * 25) - 23) / 23
[1801] ['23', '23', '23', '26'] -> 26 - ((23 + 23) / 23)
[1802] ['23', '23', '25', '25'] -> (23 + 25) / (25 - 23)
[1803] ['2', '2', '19', '26'] -> ((19 * 2) - 26) * 2
[1804] ['23', '23', '26', '45'] -> ((26 - 23) * 23) - 45
[1805] ['23', '23', '26', '46'] -> ((23 * 26) - 46) / 23
[1806] ['23', '23', '27', '46'] -> 27 - ((23 + 46) / 23)
[1807] ['22', '23', '41', '43'] -> ((43 - 41) * 23) - 22
[1808] ['22', '23', '42', '45'] -> (22 * 45) - (23 * 42)
[1809] ['22', '23', '43', '45'] -> ((45 - 43) * 23) - 22
[1810] ['22', '23', '45', '46'] -> ((23 * 46) + 22) / 45
[1811] ['22', '23', '45', '47'] -> ((47 - 45) * 23) - 22
[1812] ['22', '23', '46', '47'] -> (23 * 46) - (22 * 47)
[1813] ['22', '23', '47', '49'] -> ((49 - 47) * 23) - 22
[1814] ['2', '2', '19', '28'] -> (19 * 2) - (28 / 2)
[1815] ['22', '25', '25', '25'] -> ((25 + 25) / 25) + 22
[1816] ['22', '25', '27', '41'] -> 27 - ((25 + 41) / 22)
[1817] ['22', '25', '27', '45'] -> (27 + 45) / (25 - 22)
[1818] ['22', '25', '28', '31'] -> ((25 + 31) / 28) + 22
[1819] ['22', '25', '28', '42'] -> ((28 - 25) * 22) - 42
[1820] ['22', '25', '28', '44'] -> (28 + 44) / (25 - 22)
[1821] ['22', '25', '29', '33'] -> ((25 + 33) / 29) + 22
[1822] ['22', '25', '29', '38'] -> ((22 * 29) - 38) / 25
[1823] ['22', '26', '44', '46'] -> (22 + 26) / (46 - 44)
[1824] ['22', '26', '45', '47'] -> (22 + 26) / (47 - 45)
[1825] ['2', '2', '19', '32'] -> ((32 - 19) * 2) - 2
[1826] ['22', '26', '48', '48'] -> (48 + 48) / (26 - 22)
[1827] ['22', '27', '27', '27'] -> ((27 + 27) / 27) + 22
[1828] ['22', '27', '27', '39'] -> 27 - ((27 + 39) / 22)
[1829] ['22', '27', '28', '29'] -> ((27 + 29) / 28) + 22
[1830] ['22', '27', '28', '32'] -> ((22 * 28) + 32) / 27
[1831] ['22', '27', '28', '38'] -> 27 - ((28 + 38) / 22)
[1832] ['22', '27', '29', '31'] -> ((27 + 31) / 29) + 22
[1833] ['22', '27', '29', '37'] -> 27 - ((29 + 37) / 22)
[1834] ['22', '27', '30', '33'] -> ((27 + 33) / 30) + 22
[1835] ['22', '27', '30', '36'] -> 27 - ((30 + 36) / 22)
[1836] ['2', '2', '20', '20'] -> ((2 + 20) * 2) - 20
[1837] ['22', '27', '31', '34'] -> ((22 * 31) - 34) / 27
[1838] ['22', '27', '32', '34'] -> 27 - ((32 + 34) / 22)
[1839] ['22', '27', '32', '37'] -> ((27 + 37) / 32) + 22
[1840] ['22', '27', '33', '39'] -> ((27 + 39) / 33) + 22
[1841] ['22', '27', '34', '41'] -> ((27 + 41) / 34) + 22
[1842] ['22', '27', '35', '43'] -> ((27 + 43) / 35) + 22
[1843] ['22', '27', '37', '47'] -> ((27 + 47) / 37) + 22
[1844] ['22', '27', '38', '49'] -> ((27 + 49) / 38) + 22
[1845] ['22', '27', '40', '48'] -> (27 * 40) - (22 * 48)
[1846] ['22', '28', '28', '28'] -> ((28 + 28) / 28) + 22
[1847] ['2', '2', '20', '22'] -> (22 - (20 / 2)) * 2
[1848] ['22', '28', '29', '34'] -> ((22 * 29) + 34) / 28
[1849] ['22', '28', '29', '38'] -> (22 * 38) - (28 * 29)
[1850] ['22', '28', '31', '34'] -> ((28 + 34) / 31) + 22
[1851] ['22', '28', '32', '32'] -> ((22 * 32) - 32) / 28
[1852] ['22', '28', '33', '38'] -> ((28 + 38) / 33) + 22
[1853] ['22', '28', '35', '42'] -> ((28 + 42) / 35) + 22
[1854] ['22', '28', '36', '44'] -> ((28 + 44) / 36) + 22
[1855] ['22', '28', '38', '48'] -> ((28 + 48) / 38) + 22
[1856] ['22', '28', '39', '49'] -> 28 - ((39 + 49) / 22)
[1857] ['22', '25', '29', '43'] -> (29 + 43) / (25 - 22)
[1858] ['2', '2', '20', '35'] -> 35 - ((2 + 20) / 2)
[1859] ['22', '25', '30', '33'] -> (25 * 30) - (22 * 33)
[1860] ['22', '25', '30', '35'] -> ((25 + 35) / 30) + 22
[1861] ['22', '25', '31', '37'] -> ((25 + 37) / 31) + 22
[1862] ['22', '25', '31', '41'] -> (31 + 41) / (25 - 22)
[1863] ['22', '25', '33', '39'] -> (33 + 39) / (25 - 22)
[1864] ['22', '25', '34', '38'] -> (34 + 38) / (25 - 22)
[1865] ['22', '25', '34', '43'] -> ((25 + 43) / 34) + 22
[1866] ['22', '25', '35', '37'] -> (35 + 37) / (25 - 22)
[1867] ['22', '25', '35', '45'] -> ((25 + 45) / 35) + 22
[1868] ['22', '25', '36', '42'] -> (22 * 42) - (25 * 36)
[1869] ['2', '2', '20', '38'] -> ((20 / 2) + 38) / 2
[1870] ['22', '25', '36', '47'] -> ((25 + 47) / 36) + 22
[1871] ['22', '25', '37', '49'] -> ((25 + 49) / 37) + 22
[1872] ['22', '25', '46', '47'] -> ((25 * 46) - 22) / 47
[1873] ['22', '26', '26', '26'] -> ((26 + 26) / 26) + 22
[1874] ['22', '26', '26', '28'] -> (22 + 26) / (28 - 26)
[1875] ['22', '26', '26', '30'] -> 26 - ((22 + 30) / 26)
[1876] ['22', '26', '27', '28'] -> ((26 + 28) / 27) + 22
[1877] ['22', '26', '27', '29'] -> (22 + 26) / (29 - 27)
[1878] ['22', '26', '27', '30'] -> ((22 * 27) + 30) / 26
[1879] ['22', '26', '27', '32'] -> 26 - ((22 + 32) / 27)
[1880] ['2', '2', '21', '22'] -> ((2 + 21) * 2) - 22
[1881] ['22', '26', '28', '32'] -> (26 * 28) - (22 * 32)
[1882] ['22', '26', '29', '31'] -> (22 + 26) / (31 - 29)
[1883] ['22', '26', '29', '32'] -> ((26 + 32) / 29) + 22
[1884] ['22', '26', '29', '36'] -> 26 - ((22 + 36) / 29)
[1885] ['22', '26', '30', '32'] -> (22 + 26) / (32 - 30)
[1886] ['22', '26', '30', '34'] -> ((26 + 34) / 30) + 22
[1887] ['22', '26', '30', '38'] -> 26 - ((22 + 38) / 30)
[1888] ['22', '26', '31', '33'] -> (22 + 26) / (33 - 31)
[1889] ['22', '26', '31', '35'] -> ((22 * 35) - 26) / 31
[1890] ['22', '26', '31', '36'] -> ((26 + 36) / 31) + 22
[1891] ['1', '1', '16', '28'] -> (1 + 1) * (28 - 16)
[1892] ['2', '2', '21', '23'] -> ((21 + 23) / 2) + 2
[1893] ['22', '26', '31', '40'] -> 26 - ((22 + 40) / 31)
[1894] ['22', '26', '32', '34'] -> (22 + 26) / (34 - 32)
[1895] ['22', '26', '33', '35'] -> (22 + 26) / (35 - 33)
[1896] ['22', '26', '33', '40'] -> ((26 + 40) / 33) + 22
[1897] ['22', '26', '34', '36'] -> (22 + 26) / (36 - 34)
[1898] ['22', '26', '34', '42'] -> ((26 + 42) / 34) + 22
[1899] ['22', '26', '34', '46'] -> 26 - ((22 + 46) / 34)
[1900] ['22', '26', '36', '38'] -> (22 + 26) / (38 - 36)
[1901] ['22', '26', '36', '46'] -> ((26 + 46) / 36) + 22
[1902] ['22', '26', '37', '39'] -> (22 + 26) / (39 - 37)
[1903] ['2', '2', '21', '30'] -> ((2 * 21) - 30) * 2
[1904] ['22', '26', '37', '41'] -> ((26 * 37) + 22) / 41
[1905] ['22', '26', '38', '40'] -> (22 + 26) / (40 - 38)
[1906] ['22', '26', '38', '46'] -> (22 * 46) - (26 * 38)
[1907] ['22', '26', '39', '41'] -> (22 + 26) / (41 - 39)
[1908] ['22', '26', '41', '43'] -> (22 + 26) / (43 - 41)
[1909] ['22', '26', '42', '44'] -> (22 + 26) / (44 - 42)
[1910] ['22', '26', '43', '45'] -> (22 + 26) / (45 - 43)
[1911] ['22', '34', '34', '34'] -> ((34 + 34) / 34) + 22
[1912] ['22', '34', '37', '40'] -> ((34 + 40) / 37) + 22
[1913] ['22', '34', '37', '42'] -> ((37 - 34) * 22) - 42
[1914] ['2', '2', '21', '33'] -> (2 * 33) - (2 * 21)
[1915] ['22', '34', '38', '43'] -> ((22 * 43) - 34) / 38
[1916] ['22', '34', '39', '42'] -> ((22 * 39) - 42) / 34
[1917] ['22', '34', '39', '44'] -> ((34 + 44) / 39) + 22
[1918] ['22', '34', '40', '46'] -> ((34 + 46) / 40) + 22
[1919] ['22', '34', '41', '48'] -> ((34 + 48) / 41) + 22
[1920] ['22', '35', '35', '35'] -> ((35 + 35) / 35) + 22
[1921] ['22', '35', '36', '37'] -> ((35 + 37) / 36) + 22
[1922] ['22', '35', '36', '48'] -> ((22 * 36) + 48) / 35
[1923] ['22', '35', '38', '41'] -> ((35 + 41) / 38) + 22
[1924] ['22', '35', '38', '42'] -> ((38 - 35) * 22) - 42
[1925] ['2', '2', '21', '34'] -> ((34 - 21) * 2) - 2
[1926] ['22', '35', '39', '43'] -> ((35 + 43) / 39) + 22
[1927] ['22', '35', '40', '40'] -> ((22 * 40) - 40) / 35
[1928] ['22', '35', '40', '45'] -> ((35 + 45) / 40) + 22
[1929] ['22', '35', '41', '47'] -> ((35 + 47) / 41) + 22
[1930] ['22', '35', '42', '49'] -> ((35 + 49) / 42) + 22
[1931] ['22', '36', '36', '36'] -> ((36 + 36) / 36) + 22
[1932] ['22', '36', '37', '38'] -> ((36 + 38) / 37) + 22
[1933] ['22', '36', '37', '42'] -> ((22 * 42) - 36) / 37
[1934] ['22', '36', '38', '41'] -> ((22 * 41) - 38) / 36
[1935] ['22', '36', '40', '44'] -> ((36 + 44) / 40) + 22
[1936] ['2', '2', '21', '36'] -> (2 * 21) - (36 / 2)
[1937] ['22', '36', '41', '46'] -> ((36 + 46) / 41) + 22
[1938] ['22', '36', '42', '48'] -> ((36 + 48) / 42) + 22
[1939] ['22', '37', '37', '37'] -> ((37 + 37) / 37) + 22
[1940] ['22', '37', '38', '39'] -> ((37 + 39) / 38) + 22
[1941] ['22', '37', '39', '41'] -> ((37 + 41) / 39) + 22
[1942] ['22', '37', '40', '42'] -> ((40 - 37) * 22) - 42
[1943] ['22', '37', '41', '45'] -> ((37 + 45) / 41) + 22
[1944] ['22', '37', '42', '47'] -> ((37 + 47) / 42) + 22
[1945] ['22', '37', '43', '49'] -> ((37 + 49) / 43) + 22
[1946] ['22', '38', '38', '38'] -> ((38 + 38) / 38) + 22
[1947] ['2', '2', '22', '23'] -> (23 - (22 / 2)) * 2
[1948] ['22', '38', '39', '40'] -> ((38 + 40) / 39) + 22
[1949] ['22', '38', '40', '42'] -> ((38 + 42) / 40) + 22
[1950] ['22', '38', '41', '42'] -> ((41 - 38) * 22) - 42
[1951] ['22', '38', '41', '44'] -> ((38 + 44) / 41) + 22
[1952] ['22', '28', '41', '46'] -> ((22 * 46) - 28) / 41
[1953] ['22', '28', '41', '47'] -> 28 - ((41 + 47) / 22)
[1954] ['22', '28', '43', '45'] -> 28 - ((43 + 45) / 22)
[1955] ['22', '28', '44', '44'] -> 28 - ((44 + 44) / 22)
[1956] ['22', '29', '29', '29'] -> ((29 + 29) / 29) + 22
[1957] ['22', '29', '30', '31'] -> ((29 + 31) / 30) + 22
[1958] ['2', '2', '22', '25'] -> ((25 - 2) * 2) - 22
[1959] ['22', '29', '30', '33'] -> ((22 * 33) - 30) / 29
[1960] ['22', '29', '30', '36'] -> ((22 * 30) + 36) / 29
[1961] ['22', '29', '31', '33'] -> ((29 + 33) / 31) + 22
[1962] ['22', '29', '32', '35'] -> ((29 + 35) / 32) + 22
[1963] ['22', '29', '32', '42'] -> ((32 - 29) * 22) - 42
[1964] ['22', '29', '33', '37'] -> ((29 + 37) / 33) + 22
[1965] ['22', '29', '34', '39'] -> ((29 + 39) / 34) + 22
[1966] ['22', '29', '34', '42'] -> ((29 * 34) + 22) / 42
