[92] ['16', '16', '28', '43'] -> ((16 * 43) - 16) / 28
[93] ['16', '16', '30', '44'] -> ((16 * 44) + 16) / 30
[94] ['16', '16', '30', '46'] -> ((16 * 46) - 16) / 30
[95] ['16', '16', '32', '47'] -> ((16 * 47) + 16) / 32
[96] ['16', '16', '32', '49'] -> ((16 * 49) - 16) / 32
[97] ['16', '17', '21', '27'] -> ((17 * 21) + 27) / 16
[98] ['16', '17', '22', '32'] -> ((17 * 32) - 16) / 22
[99] ['16', '17', '23', '40'] -> ((16 * 23) + 40) / 17
[100] ['15', '25', '43', '45'] -> ((15 * 43) - 45) / 25
[101] ['15', '26', '29', '49'] -> 29 - ((26 + 49) / 15)
[102] ['15', '26', '36', '44'] -> ((15 * 44) - 36) / 26
[103] ['15', '26', '39', '39'] -> ((15 * 39) + 39) / 26
[104] ['15', '27', '27', '31'] -> ((27 * 27) + 15) / 31
[105] ['15', '27', '27', '47'] -> (27 * 27) - (15 * 47)
[106] ['15', '27', '28', '43'] -> ((15 * 43) + 27) / 28
[107] ['15', '27', '29', '48'] -> 29 - ((27 + 48) / 15)
[108] ['15', '27', '33', '41'] -> ((15 * 41) + 33) / 27
[109] ['15', '27', '37', '41'] -> ((27 * 37) - 15) / 41
[110] ['15', '27', '42', '46'] -> ((15 * 46) - 42) / 27
[111] ['15', '27', '43', '49'] -> ((27 * 43) + 15) / 49
[112] ['15', '28', '29', '47'] -> 29 - ((28 + 47) / 15)
[113] ['15', '28', '33', '47'] -> ((15 * 47) - 33) / 28
[114] ['15', '28', '42', '42'] -> ((15 * 42) + 42) / 28
[115] ['15', '28', '48', '48'] -> ((15 * 48) - 48) / 28
[116] ['15', '29', '29', '46'] -> 29 - ((29 + 46) / 15)
[117] ['15', '29', '30', '45'] -> 29 - ((30 + 45) / 15)
[118] ['15', '29', '31', '44'] -> 29 - ((31 + 44) / 15)
[119] ['15', '29', '32', '43'] -> 29 - ((32 + 43) / 15)
[120] ['15', '29', '33', '42'] -> 29 - ((33 + 42) / 15)
[121] ['15', '29', '34', '41'] -> 29 - ((34 + 41) / 15)
[122] ['15', '29', '36', '44'] -> ((15 * 44) + 36) / 29
[123] ['15', '29', '37', '38'] -> 29 - ((37 + 38) / 15)
