[92] ['5', '5', '10', '10'] -> (5 * 5) - (10 / 10)
[93] ['5', '5', '11', '11'] -> (5 * 5) - (11 / 11)
[94] ['1', '5', '11', '11'] -> ((11 * 11) - 1) / 5
[95] ['5', '6', '6', '6'] -> (5 - (6 / 6)) * 6
[96] ['5', '6', '6', '9'] -> (6 * 9) - (5 * 6)
[97] ['5', '6', '7', '7'] -> (5 - (7 / 7)) * 6
[98] ['5', '6', '11', '11'] -> (5 - (11 / 11)) * 6
[99] ['5', '7', '7', '9'] -> (5 + 7) * (9 - 7)
[100] ['5', '7', '7', '11'] -> (5 - (11 / 7)) * 7
[101] ['5', '7', '8', '10'] -> (10 - 8) * (5 + 7)
[102] ['5', '7', '9', '11'] -> (11 - 9) * (5 + 7)
[103] ['5', '7', '10', '11'] -> ((10 - 5) * 7) - 11
[104] ['5', '7', '12', '12'] -> (12 * 7) - (12 * 5)
[105] ['5', '8', '12', '12'] -> ((8 - 5) * 12) - 12
[106] ['5', '10', '10', '11'] -> ((10 * 11) + 10) / 5
[107] ['6', '7', '10', '10'] -> ((10 - 7) * 10) - 6
[108] ['6', '6', '6', '10'] -> (10 * 6) - (6 * 6)
[109] ['6', '6', '6', '11'] -> ((11 - 6) * 6) - 6
[110] ['6', '6', '7', '11'] -> (11 * 6) - (6 * 7)
[111] ['1', '8', '10', '11'] -> (1 + 11) * (10 - 8)
[112] ['6', '8', '10', '11'] -> ((11 - 8) * 10) - 6
[113] ['1', '8', '12', '12'] -> 12 / ((12 / 8) - 1)
[114] ['6', '7', '11', '11'] -> ((11 - 6) * 7) - 11
[115] ['6', '11', '12', '12'] -> ((11 * 12) + 12) / 6
[116] ['7', '8', '8', '10'] -> (10 * 8) - (7 * 8)
[117] ['7', '8', '8', '11'] -> ((11 - 7) * 8) - 8
[118] ['7', '9', '12', '12'] -> (12 * 9) - (12 * 7)
[119] ['1', '1', '2', '7'] -> (1 + 2) * (1 + 7)
[120] ['8', '8', '8', '11'] -> (11 * 8) - (8 * 8)
[121] ['8', '8', '9', '12'] -> (12 * 8) - (8 * 9)
[122] ['8', '9', '11', '11'] -> ((11 - 8) * 11) - 9
[123] ['8', '11', '12', '12'] -> ((11 - 8) * 12) - 12
[124] ['1', '9', '11', '11'] -> (1 + 11) * (11 - 9)
[125] ['1', '10', '10', '12'] -> ((10 / 10) + 1) * 12
[126] ['9', '11', '12', '12'] -> (11 * 12) - (12 * 9)
[127] ['9', '12', '12', '12'] -> ((12 - 9) * 12) - 12
[128] ['1', '1', '2', '9'] -> (1 + 2) * (9 - 1)
[129] ['10', '12', '12', '12'] -> (12 * 12) - (10 * 12)
[130] ['1', '11', '11', '12'] -> ((11 / 11) + 1) * 12
[131] ['1', '2', '7', '7'] -> ((7 * 7) - 1) / 2
[132] ['1', '12', '12', '12'] -> ((12 / 12) + 1) * 12
